"combination(src,dst)",total_propogationloss(dB),total_bendloss(dB),total_couplingloss(dB),total_distance(cm),bitrate,photonic_delay
(22  27),0.125,0.0,2.0,0.125,10,17
(22  28),0.0,0.0,2.0,0.0,15,11
(22  29),0.125,0.0,2.0,0.125,5,33
(22  30),0.0,0.0,2.0,0.0,20,8
(22  31),0.125,0.0,2.0,0.125,25,7
(23  16),8.392699,0.015,2.0,8.392699,5,33
(23  17),8.517699,0.015,2.0,8.517699,15,11
(23  18),8.392699,0.015,2.0,8.392699,5,33
(23  19),8.517699,0.015,2.0,8.517699,20,9
(23  20),8.392699,0.015,2.0,8.392699,30,6
(23  21),8.517699,0.015,2.0,8.517699,15,11
(23  22),8.392699,0.015,2.0,8.392699,5,33
(23  24),0.125,0.0,2.0,0.125,30,6
(23  25),0.0,0.0,2.0,0.0,20,8
(23  26),0.125,0.0,2.0,0.125,20,9
(23  27),0.0,0.0,2.0,0.0,25,7
(23  28),0.125,0.0,2.0,0.125,5,33
(23  29),0.0,0.0,2.0,0.0,5,32
(23  30),0.125,0.0,2.0,0.125,25,7
(23  31),0.0,0.0,2.0,0.0,25,7
(24  16),8.517699,0.015,2.0,8.517699,10,17
(24  17),8.642699,0.015,2.0,8.642699,25,7
(24  18),8.517699,0.015,2.0,8.517699,10,17
(24  19),8.642699,0.015,2.0,8.642699,10,17
(24  20),8.517699,0.015,2.0,8.517699,5,33
(24  21),8.642699,0.015,2.0,8.642699,30,6
(24  22),8.517699,0.015,2.0,8.517699,25,7
(24  23),8.642699,0.015,2.0,8.642699,25,7
(24  25),0.125,0.0,2.0,0.125,10,17
(24  26),0.0,0.0,2.0,0.0,5,32
(24  27),0.125,0.0,2.0,0.125,20,9
(24  28),0.0,0.0,2.0,0.0,15,11
(24  29),0.125,0.0,2.0,0.125,10,17
(24  30),0.0,0.0,2.0,0.0,25,7
(24  31),0.125,0.0,2.0,0.125,15,11
(25  16),8.392699,0.015,2.0,8.392699,10,17
(25  17),8.517699,0.015,2.0,8.517699,10,17
(25  18),8.392699,0.015,2.0,8.392699,30,6
(25  19),8.517699,0.015,2.0,8.517699,10,17
(25  20),8.392699,0.015,2.0,8.392699,30,6
(25  21),8.517699,0.015,2.0,8.517699,15,11
(25  22),8.392699,0.015,2.0,8.392699,30,6
(25  23),8.517699,0.015,2.0,8.517699,5,33
(25  24),8.392699,0.015,2.0,8.392699,25,7
(25  26),0.125,0.0,2.0,0.125,15,11
(25  27),0.0,0.0,2.0,0.0,30,6
(25  28),0.125,0.0,2.0,0.125,30,6
(25  29),0.0,0.0,2.0,0.0,30,6
(25  30),0.125,0.0,2.0,0.125,10,17
(25  31),0.0,0.0,2.0,0.0,10,16
(26  16),8.517699,0.015,2.0,8.517699,5,33
(26  17),8.642699,0.015,2.0,8.642699,10,17
(26  18),8.517699,0.015,2.0,8.517699,5,33
(26  19),8.642699,0.015,2.0,8.642699,25,7
(26  20),8.517699,0.015,2.0,8.517699,15,11
(26  21),8.642699,0.015,2.0,8.642699,5,33
(26  22),8.517699,0.015,2.0,8.517699,20,9
(26  23),8.642699,0.015,2.0,8.642699,10,17
(26  24),8.517699,0.015,2.0,8.517699,15,11
(26  25),8.642699,0.015,2.0,8.642699,25,7
(26  27),0.125,0.0,2.0,0.125,25,7
(26  28),0.0,0.0,2.0,0.0,30,6
(26  29),0.125,0.0,2.0,0.125,20,9
(26  30),0.0,0.0,2.0,0.0,5,32
(26  31),0.125,0.0,2.0,0.125,25,7
(27  16),8.392699,0.015,2.0,8.392699,10,17
(27  17),8.517699,0.015,2.0,8.517699,10,17
(27  18),8.392699,0.015,2.0,8.392699,10,17
(27  19),8.517699,0.015,2.0,8.517699,25,7
(27  20),8.392699,0.015,2.0,8.392699,5,33
